period;position;party;name;n.position;interval;date;month;check;dupes;check2
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-07-01;1; 578;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-08-01;1; 579;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-09-01;1; 580;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-10-01;1; 581;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-11-01;1; 582;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-12-01;1; 583;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-01-01;1; 584;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-02-01;1; 585;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-03-01;1; 586;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-04-01;1; 587;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-05-01;1; 588;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-06-01;1; 589;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-07-01;1; 590;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-08-01;1; 591;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-09-01;1; 592;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-10-01;1; 593;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-11-01;1; 594;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1998-12-01;1; 595;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1999-01-01;1; 596;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;date.start;1997-01-03;1997-01-01;1; 837;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-02-01;1; 838;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-03-01;1; 839;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-04-01;1; 840;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-05-01;1; 841;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-06-01;1; 842;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-07-01;1; 843;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-08-01;1; 844;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-09-01;1; 845;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-10-01;1; 846;0
