id;value;id2
"c(""128402_1.png"", ""128402_2.png"", ""128402_3.png"")";128402_2.png;128402
"c(""128402_1.png"", ""128402_2.png"", ""128402_3.png"")";128402_3.png;128402
"c(""128403_1.png"", ""128403_2.png"")";128403_1.png;128403
"c(""128403_1.png"", ""128403_2.png"")";128403_2.png;128403
"c(""128404_1.png"", ""128404_2.png"")";128404_1.png;128404
"c(""128404_1.png"", ""128404_2.png"")";128404_2.png;128404
"c(""128405_1.png"", ""128405_2.png"")";128405_1.png;128405
"c(""128405_1.png"", ""128405_2.png"")";128405_2.png;128405
128416_1.png;128416_1.png;128416
128417_1.png;128417_1.png;128417
"c(""129320_1.png"", ""129320_2.png"")";129320_1.png;129320
"c(""129320_1.png"", ""129320_2.png"")";129320_2.png;129320
"c(""129321_1.png"", ""129321_2.png"")";129321_1.png;129321
"c(""129321_1.png"", ""129321_2.png"")";129321_2.png;129321
"c(""129322_1.png"", ""129322_2.png"")";129322_1.png;129322
"c(""129322_1.png"", ""129322_2.png"")";129322_2.png;129322
"c(""129323_1.png"", ""129323_2.png"")";129323_1.png;129323
"c(""129323_1.png"", ""129323_2.png"")";129323_2.png;129323
"c(""129324_1.png"", ""129324_2.png"")";129324_1.png;129324
"c(""129324_1.png"", ""129324_2.png"")";129324_2.png;129324
"c(""129325_1.png"", ""129325_2.png"")";129325_1.png;129325
"c(""129325_1.png"", ""129325_2.png"")";129325_2.png;129325
"c(""131065_1.png"", ""131065_2.png"")";131065_1.png;131065
"c(""131065_1.png"", ""131065_2.png"")";131065_2.png;131065
"c(""131066_1.png"", ""131066_2.png"")";131066_1.png;131066
"c(""131066_1.png"", ""131066_2.png"")";131066_2.png;131066
"c(""131067_1.png"", ""131067_2.png"")";131067_1.png;131067
"c(""131067_1.png"", ""131067_2.png"")";131067_2.png;131067
"c(""131068_1.png"", ""131068_2.png"")";131068_1.png;131068
"c(""131068_1.png"", ""131068_2.png"")";131068_2.png;131068
"c(""131069_1.png"", ""131069_2.png"")";131069_1.png;131069
"c(""131069_1.png"", ""131069_2.png"")";131069_2.png;131069
"c(""131070_1.png"", ""131070_2.png"")";131070_1.png;131070
"c(""131070_1.png"", ""131070_2.png"")";131070_2.png;131070
"c(""131071_1.png"", ""131071_2.png"")";131071_1.png;131071
"c(""131071_1.png"", ""131071_2.png"")";131071_2.png;131071
"c(""131072_1.png"", ""131072_2.png"")";131072_1.png;131072
"c(""131072_1.png"", ""131072_2.png"")";131072_2.png;131072
