PID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,check,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3
1721,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,74,TeÅçan/ Usora,ok,,,Opcine,Commune
479,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,54,Teocak,ok,,,Opcine,Commune
1748,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,101,Teslic,ok,,,Opcine,Commune
1673,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,10,Tomislavgrad,ok,,,Opcine,Commune
1684,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,21,Travnik,ok,,,Opcine,Commune
1781,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,134,Trebinje,ok,,,Opcine,Commune
1774,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,127,Trnovo,ok,,,Opcine,Commune
1705,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,42,Trnovo,ok,,,Opcine,Commune
480,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,55,Tuzla,ok,,,Opcine,Commune
1751,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,13,Bijeljina,104,Ugljevik,ok,,,Opcine,Commune
1722,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,75,VareÅç,ok,,,Opcine,Commune
489,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,64,Velika KladuÅça,ok,,,Opcine,Commune
1766,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,119,ViÅçegrad,ok,,,Opcine,Commune
1723,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,76,Visoko,ok,,,Opcine,Commune
1685,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,22,Vitez,ok,,,Opcine,Commune
1787,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,140,Vlasenica,ok,,,Opcine,Commune
1706,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,43,VogoÅçca,ok,,,Opcine,Commune
1724,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,77,Zavidovici,ok,,,Opcine,Commune
1725,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,78,Zenica,ok,,,Opcine,Commune
1788,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,141,Zvornik,ok,,,Opcine,Commune
1726,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,79,Å_epce,ok,,,Opcine,Commune
481,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,56,Å_ivinice,ok,,,Opcine,Commune
1759,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,112,Å_amac,ok,,,Opcine,Commune
1785,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,138,Å_ekovici,ok,,,Opcine,Commune
1745,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,98,Å_ipovo,ok,,,Opcine,Commune
1715,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,10,West Herzegovina,68,Å_iroki Brijeg,ok,,,Opcine,Commune
