year,district.name,district.id,party.code,party,total,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,percentage,seats,minority,minority.elected
2012,Kozarska Dubica,8,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,297,293,1,2,1,"2,37",0,,
2012,Kozarska Dubica,8,561,NARODNA DEMOKRATSKA STRANKA,263,263,0,0,0,"2,09",0,,
2012,Kozarska Dubica,8,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,237,196,40,1,0,"1,89",0,,
2012,Kozarska Dubica,8,279,PARTIJA UJEDINJENIH PENZIONERA,134,133,0,1,0,"1,07",0,,
2012,Kozarska Dubica,8,1412,BIGA JOVO - NEZAVISNI KANDIDAT,124,124,0,0,0,"0,99",0,,
2012,Kozarska Dubica,8,4,STRANKA ZA BOSNU I HERCEGOVINU,32,30,2,0,0,"0,25",0,,
2012,Kozarska Dubica,8,27851,HALILOVIC MUHAMED - 40 GRADANA,115,114,1,0,0,-,1,y,y
2012,Kozarska Dubica,8,27850,RADONJIC ZELJKO - NEZAVISNI KANDIDAT,78,78,0,0,0,-,0,y,n
2012,Kozarska Dubica,8,27800,DUKIC DRAGAN - NEZAVISNI KANDIDAT,52,52,0,0,0,-,0,y,n
2012,Kozarska Dubica,8,27821,DAVIDOSKI DANIJEL - NEZAVISNI KANDIDAT,24,24,0,0,0,-,0,y,n
2012,Laktasi,11,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,7376,7343,2,31,0,"46,80",14,,
2012,Laktasi,11,18,SDS-SRPSKA DEMOKRATSKA STRANKA,2917,2914,2,1,0,"18,51",6,,
2012,Laktasi,11,1645,VOZI MISKO,2210,2206,2,2,0,"14,02",4,,
2012,Laktasi,11,74,SOCIJALISTICKA PARTIJA,1271,1269,0,2,0,"8,06",2,,
2012,Laktasi,11,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1076,1076,0,0,0,"6,83",2,,
2012,Laktasi,11,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,619,619,0,0,0,"3,93",1,,
2012,Laktasi,11,1250,STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA,117,117,0,0,0,"0,74",0,,
2012,Laktasi,11,502,NARODNA STRANKA RADOM ZA BOLJITAK,104,103,0,1,0,"0,66",0,,
2012,Laktasi,11,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,72,60,12,0,0,"0,46",0,,
2012,Srbac,12,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,4941,4909,5,27,0,"43,19",12,,
2012,Srbac,12,18,SDS-SRPSKA DEMOKRATSKA STRANKA,1927,1918,0,9,0,"16,84",4,,
2012,Srbac,12,1646,KOALICIJA ZVONO SRBAC,1831,1747,64,20,0,"16,01",4,,
2012,Srbac,12,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,1483,1464,5,14,0,"12,96",3,,
2012,Srbac,12,74,SOCIJALISTICKA PARTIJA,478,476,0,2,0,"4,18",1,,
2012,Srbac,12,461,DNS-DEMOKRATSKI NARODNI SAVEZ,433,432,1,0,0,"3,78",1,,
2012,Srbac,12,561,NARODNA DEMOKRATSKA STRANKA,169,169,0,0,0,"1,48",0,,
2012,Srbac,12,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,99,94,4,1,0,"0,87",0,,
2012,Srbac,12,90,SDA-STRANKA DEMOKRATSKE AKCIJE,75,72,1,2,0,"0,66",0,,
2012,Srbac,12,730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,4,4,0,0,0,"0,03",0,,
2012,Prnjavor,13,18,SDS-SRPSKA DEMOKRATSKA STRANKA,5112,5095,4,10,3,"29,21",9,,
2012,Prnjavor,13,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,3908,3892,2,14,0,"22,33",7,,
2012,Prnjavor,13,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,1401,1398,2,0,1,"8,00",2,,
2012,Prnjavor,13,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,1030,1028,0,2,0,"5,89",2,,
2012,Prnjavor,13,1655,RADIKALNO ZA NAROD SRS RS - NDS,950,947,2,0,1,"5,43",2,,
2012,Prnjavor,13,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,904,902,0,2,0,"5,17",2,,
2012,Prnjavor,13,74,SOCIJALISTICKA PARTIJA,903,902,0,1,0,"5,16",2,,
2012,Prnjavor,13,983,POKRET ZA PRNJAVOR,901,901,0,0,0,"5,15",1,,
2012,Prnjavor,13,461,DNS-DEMOKRATSKI NARODNI SAVEZ,725,722,1,2,0,"4,14",1,,
2012,Prnjavor,13,90,SDA-STRANKA DEMOKRATSKE AKCIJE,499,457,35,7,0,"2,85",0,,
2012,Prnjavor,13,1200,SRPSKA NAPREDNA STRANKA,365,360,4,1,0,"2,09",0,,
2012,Prnjavor,13,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,324,306,18,0,0,"1,85",0,,
2012,Prnjavor,13,279,PARTIJA UJEDINJENIH PENZIONERA,296,294,0,2,0,"1,69",0,,
2012,Prnjavor,13,1250,STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA,102,102,0,0,0,"0,58",0,,
2012,Prnjavor,13,4,STRANKA ZA BOSNU I HERCEGOVINU,78,75,3,0,0,"0,45",0,,
2012,Prnjavor,13,730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,4,4,0,0,0,"0,02",0,,
2012,Prnjavor,13,31848,DEKET BRANKO - POKRET ZA PRNJAVOR,158,158,0,0,0,-,1,y,y
2012,Prnjavor,13,23409,PROC NIKOLA - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,139,138,0,1,0,-,0,y,n
2012,Prnjavor,13,27744,ROVER FRANJO - NEZAVISNI KANDIDAT,122,117,5,0,0,-,0,y,n
2012,Prnjavor,13,27863,DEKET VLADIMIR - NEZAVISNI KANDIDAT,104,104,0,0,0,-,0,y,n
2012,Prnjavor,13,27864,STEFANJUK MARIJA - NEZAVISNI KANDIDAT,84,82,2,0,0,-,0,y,n
2012,Prnjavor,13,28112,BOCIJ EDVARD - NEZAVISNI KANDIDAT,63,63,0,0,0,-,0,y,n
2012,Prnjavor,13,8583,KRIVINJSKIJ ALEKSANDER - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,29,29,0,0,0,-,0,y,n
2012,Prnjavor,13,11208,GULJEVATEJ IGOR - STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA,16,16,0,0,0,-,0,y,n
2012,Prnjavor,13,27865,MIRKOVIC SNJEZANA - NEZAVISNI KANDIDAT,16,16,0,0,0,-,0,y,n
2012,Derventa,14,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,3639,3486,114,36,3,"23,43",8,,
2012,Derventa,14,18,SDS-SRPSKA DEMOKRATSKA STRANKA,3574,3524,21,28,1,"23,01",7,,
2012,Derventa,14,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,1903,1884,9,9,1,"12,25",4,,
2012,Derventa,14,366,HSS-NHI,1280,297,974,2,7,"8,24",3,,
2012,Derventa,14,461,DNS-DEMOKRATSKI NARODNI SAVEZ,716,699,14,3,0,"4,61",2,,
2012,Derventa,14,74,SOCIJALISTICKA PARTIJA,664,613,47,4,0,"4,28",1,,
2012,Derventa,14,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,662,659,0,3,0,"4,26",1,,
2012,Derventa,14,1200,SRPSKA NAPREDNA STRANKA,650,646,2,2,0,"4,19",1,,
2012,Derventa,14,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,546,445,87,9,5,"3,52",1,,
2012,Derventa,14,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,519,221,296,0,2,"3,34",1,,
2012,Derventa,14,279,PARTIJA UJEDINJENIH PENZIONERA,422,412,1,9,0,"2,72",0,,
2012,Derventa,14,1652,SRPSKA RADIKALNA STRANKA,295,289,2,3,1,"1,90",0,,
2012,Derventa,14,502,NARODNA STRANKA RADOM ZA BOLJITAK,259,257,0,1,1,"1,67",0,,
2012,Derventa,14,1186,NOVA SOCIJALISTICKA PARTIJA,159,158,0,1,0,"1,02",0,,
2012,Derventa,14,561,NARODNA DEMOKRATSKA STRANKA,128,128,0,0,0,"0,82",0,,
2012,Derventa,14,90,SDA-STRANKA DEMOKRATSKE AKCIJE,69,53,14,1,1,"0,44",0,,
2012,Derventa,14,1188,POSAVSKA STRANKA,27,17,10,0,0,"0,17",0,,
2012,Derventa,14,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,18,16,2,0,0,"0,12",0,,
2012,Brod,16,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,1798,1722,57,17,2,"18,02",5,,
2012,Brod,16,74,SOCIJALISTICKA PARTIJA,1560,1472,66,19,3,"15,64",4,,
2012,Brod,16,18,SDS-SRPSKA DEMOKRATSKA STRANKA,1077,1063,0,12,2,"10,79",3,,
2012,Brod,16,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,1045,1019,16,6,4,"10,47",3,,
2012,Brod,16,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,744,734,0,9,1,"7,46",2,,
2012,Brod,16,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,734,74,658,0,2,"7,36",2,,
2012,Brod,16,366,HSS-NHI,688,42,639,0,7,"6,90",2,,
2012,Brod,16,1017,NARODNA STRANKA (POKRET ZA BROD),383,383,0,0,0,"3,84",1,,
2012,Brod,16,502,NARODNA STRANKA RADOM ZA BOLJITAK,353,290,60,2,1,"3,54",1,,
2012,Brod,16,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,348,230,112,3,3,"3,49",1,,
2012,Brod,16,461,DNS-DEMOKRATSKI NARODNI SAVEZ,335,329,0,6,0,"3,36",1,,
2012,Brod,16,16,SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE,251,250,0,0,1,"2,52",0,,
2012,Brod,16,731,EKOLOSKA STRANKA E5 - ZELENI,201,194,2,4,1,"2,01",0,,
2012,Brod,16,1608,SAVEZ SDA - SBIH,157,70,86,0,1,"1,57",0,,
2012,Brod,16,561,NARODNA DEMOKRATSKA STRANKA,156,146,7,3,0,"1,56",0,,
2012,Brod,16,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,77,75,0,2,0,"0,77",0,,
2012,Brod,16,279,PARTIJA UJEDINJENIH PENZIONERA,56,55,0,1,0,"0,56",0,,
2012,Brod,16,1188,POSAVSKA STRANKA,14,6,3,0,5,"0,14",0,,
2012,Odzak,17,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,1549,1499,36,13,1,"22,60",6,,
2012,Odzak,17,90,SDA-STRANKA DEMOKRATSKE AKCIJE,1286,1242,19,23,2,"18,77",5,,
2012,Odzak,17,769,HDZ 1990- HRVATSKA DEMOKRATSKA ZAJEDNICA 1990,759,734,19,6,0,"11,08",3,,
2012,Odzak,17,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,660,636,18,5,1,"9,63",2,,
2012,Odzak,17,1188,POSAVSKA STRANKA,632,598,25,9,0,"9,22",2,,
2012,Odzak,17,1241,HSP HERCEG-BOSNE,566,546,5,12,3,"8,26",2,,
2012,Odzak,17,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,363,343,17,3,0,"5,30",1,,
2012,Odzak,17,502,NARODNA STRANKA RADOM ZA BOLJITAK,311,310,1,0,0,"4,54",1,,
2012,Odzak,17,4,STRANKA ZA BOSNU I HERCEGOVINU,306,290,10,6,0,"4,47",1,,
2012,Odzak,17,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,289,276,13,0,0,"4,22",1,,
2012,Odzak,17,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,70,68,0,2,0,"1,02",0,,
2012,Odzak,17,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,62,62,0,0,0,"0,90",0,,
2012,Odzak,17,27398,AHMETOVIC JASMIN - NARODNA STRANKA RADOM ZA BOLJITAK,21,21,0,0,0,-,1,y,y
2012,Odzak,17,19076,SALIHOVIC RADMILA - KOMUNISTICKA PARTIJA,6,6,0,0,0,-,0,y,n
2012,Odzak,17,8860,SALMANI ABDILJ-BARI - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,2,2,0,0,0,-,0,y,n
2012,Domaljevac - Samac,20,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,997,775,209,5,8,"42,09",4,,
2012,Domaljevac - Samac,20,769,HDZ 1990- HRVATSKA DEMOKRATSKA ZAJEDNICA 1990,763,657,95,1,10,"32,21",3,,
2012,Domaljevac - Samac,20,1188,POSAVSKA STRANKA,245,198,40,6,1,"10,34",1,,
2012,Domaljevac - Samac,20,502,NARODNA STRANKA RADOM ZA BOLJITAK,132,130,0,0,2,"5,57",1,,
2012,Domaljevac - Samac,20,366,HSS-NHI,120,71,49,0,0,"5,07",1,,
2012,Domaljevac - Samac,20,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,112,102,10,0,0,"4,73",1,,
2012,Samac,21,18,SDS-SRPSKA DEMOKRATSKA STRANKA,2030,2030,0,0,0,"21,54",6,,
2012,Samac,21,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,1933,1928,4,1,0,"20,51",5,,
2012,Samac,21,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1127,1120,6,0,1,"11,96",3,,
2012,Samac,21,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,1066,1043,23,0,0,"11,31",3,,
2012,Samac,21,366,HSS-NHI,695,150,545,0,0,"7,37",2,,
