year,district.name,district.id,party,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,seats,minority,minority.elected
2008,Bosanska Dubica / Kozarska Dubica,8,Milan Kondic,77,0,10,0,0,,
2008,Bosanska Dubica / Kozarska Dubica,8,Nezavisna Demokratska Stranka,20,0,0,0,0,,
2008,Bosanska Dubica / Kozarska Dubica,8,Srpska Narodna Radikalna Stranka - Banja Luka,19,0,1,0,0,,
2008,Bosanska Dubica / Kozarska Dubica,8,Davidoski Dajel,33,,,,1,y,y
2008,Bosanska Dubica / Kozarska Dubica,8,Srpska Demokratska Stranka,26,,,,0,y,n
2008,Bosanska Dubica / Kozarska Dubica,8,Narodna Demokratska Stranka,15,,,,0,y,n
2008,Prijedor,9,Demokratski Narodni Savez,9080,3,24,2,8,,
2008,Prijedor,9,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,7610,2,22,0,7,,
2008,Prijedor,9,Srpska Demokratska Stranka,4099,5,10,0,4,,
2008,Prijedor,9,Savez SDA-S BiH,2267,815,36,5,3,,
2008,Prijedor,9,Partija Demokratskog Progresa,1964,0,5,0,2,,
2008,Prijedor,9,Socijaldemokratska Partija Bosne i Hercegovine,1678,232,12,4,2,,
2008,Prijedor,9,Srpska Radikalna Stranka Republike Srpske,1644,0,15,1,2,,
2008,Prijedor,9,Nova Gradanska Inicijativa - Kozarac,949,660,2,6,2,,
2008,Prijedor,9,Narodna Demokratska Stranka,972,0,2,0,0,,
2008,Prijedor,9,Srpska Radikalna Stranka Dr. Vojislav Seselj,921,2,3,0,0,,
2008,Prijedor,9,Socijalisticka Partija,752,0,0,0,0,,
2008,Prijedor,9,Narodna Stranka Radom za Boljitak,499,0,1,0,0,,
2008,Prijedor,9,Srpska Demokratska Stranka 1990 - Izvorna - Pokret za Srbsku,599,0,1,0,0,,
2008,Prijedor,9,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,189,34,2,0,0,,
2008,Prijedor,9,Penzionerska Stranka Republike Strpske,179,0,1,0,0,,
2008,Prijedor,9,Demokratski Pokret Srpske - Depos,138,0,0,0,0,,
2008,Prijedor,9,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",93,9,0,0,0,,
2008,Prijedor,9,Nasa Stranka,61,1,0,0,0,,
2008,Prijedor,9,Socijaldemokratska Partija Bosne i Hercegovine,155,,,,1,y,y
2008,Prijedor,9,Kanadsko ukrajinsko Humintarno Uduzenje Veselka - Nezavisni Kandidat,89,,,,0,y,n
2008,Prijedor,9,Udruzenje Slovenac Lipa Prijedor - Nezavisni Kandidat,62,,,,0,y,n
2008,Prijedor,9,Politicki Pokret Mladih - Stranka Mladih Bosne i Hercegovine,23,,,,0,y,n
2008,Prijedor,9,Udruzenje Ceha Ceska Beseda Prijedor - Nezavisni Kandidat,21,,,,0,y,n
2008,Bosanska Gradiska / Gradiska,10,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,8258,1,1,2,11,,
2008,Bosanska Gradiska / Gradiska,10,Srpska Demokratska Stranka,4308,0,1,0,5,,
2008,Bosanska Gradiska / Gradiska,10,Partija Demokratskog Progresa,3829,4,1,1,5,,
2008,Bosanska Gradiska / Gradiska,10,Narodna Stranka Radom za Boljitak,1191,4,0,0,2,,
2008,Bosanska Gradiska / Gradiska,10,Savez SDA-S BiH,876,293,8,1,1,,
2008,Bosanska Gradiska / Gradiska,10,Socijalisticka Partija,953,0,0,0,1,,
2008,Bosanska Gradiska / Gradiska,10,Socijaldemokratska Partija Bosne i Hercegovine,684,202,0,1,1,,
2008,Bosanska Gradiska / Gradiska,10,Demokratski Narodni Savez,630,1,1,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Penzionerska Stranka Republike Strpske,576,0,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Srpska Napredna Stranak Republike Srpske,389,0,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Nezavizna Lista za Gradisku,365,1,0,0,0,,
