year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,control sum,seats
1997,Bosanski Bord/Srpski Brod,16,Srpska Demokratska Stranka (Srpskih Zemalja),5873,192,6065,17
1997,Bosanski Bord/Srpski Brod,16,Srpska Patriotska Stranka - SPAS,62,11,73,0
1997,Bosanski Bord/Srpski Brod,16,HDZ BiH,2,4430,4432,13
1997,Bosanski Bord/Srpski Brod,16,Ujedinjena Posavska Obitelj U.P.O HRZ BiH,3,167,170,0
1997,Bosanski Bord/Srpski Brod,16,Srpski Demokratski Savez RS,140,2,142,0
1997,Bosanski Bord/Srpski Brod,16,Narodna Radikalna Stranka Nikola Pasic,56,6,62,0
1997,Bosanski Bord/Srpski Brod,16,Srpski Otadzbinski Front - (SOF),21,0,21,0
1997,Bosanski Bord/Srpski Brod,16,Srpska Stranka Krajine i Posavine,175,23,198,0
1997,Bosanski Bord/Srpski Brod,16,Srpska Seljacka Stranka,52,4,56,0
1997,Bosanski Bord/Srpski Brod,16,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,1361,113,1474,4
1997,Bosanski Bord/Srpski Brod,16,Narodna Stranka R.S-e,190,5,195,0
1997,Bosanski Bord/Srpski Brod,16,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",2,1831,1833,5
1997,Odzak,17,SDP BiH,128,116,244,0
1997,Odzak,17,HDZ BiH,3721,2141,5862,16
1997,Odzak,17,BOSS - Bosanska Stranka,53,18,71,0
1997,Odzak,17,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",1676,1359,3035,9
1997,Odzak/Vukosavlje,18,Srpska Demokratska Stranka (Srpskih Zemalja),1403,88,1491,18
1997,Odzak/Vukosavlje,18,Srpski Demokratski Savez RS,40,7,47,0
1997,Odzak/Vukosavlje,18,Srpska Seljacka Stranka,28,4,32,0
1997,Odzak/Vukosavlje,18,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",2,1418,1420,17
1997,Bosanski Samac/Samac,21,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,16,200,216,0
1997,Bosanski Samac/Samac,21,SDP BiH,50,73,123,0
1997,Bosanski Samac/Samac,21,Srpska Radikalna Stranka Republike Srpske,1519,56,1575,5
1997,Bosanski Samac/Samac,21,Srpska Demokratska Stranka (Srpskih Zemalja),6590,180,6770,22
1997,Bosanski Samac/Samac,21,Srpska Patriotska Stranka - SPAS,126,5,131,0
1997,Bosanski Samac/Samac,21,HDZ BiH,20,1211,1231,4
1997,Bosanski Samac/Samac,21,Ujedinjena Posavska Obitelj U.P.O HRZ BiH,6,70,76,0
1997,Bosanski Samac/Samac,21,BOSS - Bosanska Stranka,10,20,30,0
1997,Bosanski Samac/Samac,21,Srpski Demokratski Savez RS,164,4,168,0
1997,Bosanski Samac/Samac,21,Demokratska Stranka RS,118,12,130,0
1997,Bosanski Samac/Samac,21,Srpski Otadzbinski Front - (SOF),23,0,23,0
1997,Bosanski Samac/Samac,21,Demokratski Preporod Srpske (DPS),136,8,144,0
1997,Bosanski Samac/Samac,21,Srpska Seljacka Stranka,197,7,204,0
1997,Bosanski Samac/Samac,21,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,1725,53,1778,6
1997,Bosanski Samac/Samac,21,Narodna Stranka R.S-e,55,8,63,0
1997,Bosanski Samac/Samac,21,SPD RS,56,6,62,0
1997,Bosanski Samac/Samac,21,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",94,804,898,3
1997,Orasje,22,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,141,20,161,0
1997,Orasje,22,HDZ BiH,6461,501,6962,25
1997,Orasje,22,BOSS - Bosanska Stranka,94,6,100,0
1997,Orasje,22,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",978,116,1094,4
1997,Orasje,22,Josip Vincetic,154,15,169,0
1997,Orasje,22,Luka Nedic,274,24,298,0
1997,Orasje,22,Mika Damjanovic-Avdo,410,18,428,1
1997,Orasje/Srpsko Orasje,23,Srpska Radikalna Stranka Republike Srpske,674,13,687,20
1997,Orasje/Srpsko Orasje,23,Srpska Demokratska Stranka (Srpskih Zemalja),524,14,538,15
1997,Orasje/Srpsko Orasje,23,Stranka Nezavisnih Socijaldemokrata,20,9,29,0
1997,Orasje/Srpsko Orasje,23,Srpska Seljacka Stranka,23,2,25,0
1997,Orasje/Srpsko Orasje,23,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,147,10,157,5
1997,Modrica,24,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,10,524,534,0
1997,Modrica,24,SDP BiH,31,484,515,0
1997,Modrica,24,Srpska Radikalna Stranka Republike Srpske,2531,117,2648,5
